,title,genre,mood
0,Five Came Back: The Reference Films,documentation,learn
1,Monty Python's Flying Circus,comedy,laugh
2,Monty Python's Fliegender Zirkus,comedy,laugh
3,Seinfeld,comedy,laugh
4,Knight Rider,scifi,thrilled
5,Thomas & Friends,animation,thrilled
6,Saved by the Bell,family,nostalgic
7,Wheel of Fortune,family,nostalgic
8,Major Dad,comedy,laugh
9,Danger Mouse,animation,thrilled
10,Fireman Sam,animation,thrilled
11,High Risk,comedy,laugh
12,Survivor,reality,laugh
13,Stargate SG-1,scifi,thrilled
14,Pokémon,action,thrilled
15,One Piece,animation,thrilled
16,The Challenge,reality,laugh
17,Cowboy Bebop,animation,thrilled
18,Neon Genesis Evangelion,drama,thrilled
19,Gilmore Girls,comedy,laugh
20,Power Rangers,action,thrilled
21,Yu-Gi-Oh!,scifi,thrilled
22,The Magic School Bus,animation,thrilled
23,Goosebumps,scifi,thrilled
24,InuYasha,scifi,thrilled
25,All That,comedy,laugh
26,Barney & Friends,comedy,laugh
27,Kenan & Kel,family,nostalgic
28,My First Errand,documentation,learn
29,Cardcaptor Sakura,scifi,thrilled
30,Adventures of Sonic the Hedgehog,scifi,thrilled
31,Girlfriends,drama,thrilled
32,The Parkers,comedy,laugh
33,"Sister, Sister",comedy,laugh
34,Moesha,drama,thrilled
35,Heartbreak High,drama,thrilled
36,Oggy and the Cockroaches,animation,thrilled
37,Okupas,drama,thrilled
38,H,comedy,laugh
39,Escalona,drama,thrilled
40,Breaking Bad,drama,thrilled
41,Top Gear,comedy,laugh
42,The Walking Dead,action,thrilled
43,Supernatural,scifi,thrilled
44,The Great British Baking Show,reality,laugh
45,30 Rock,comedy,laugh
46,Borgen,drama,thrilled
47,Community,comedy,laugh
48,Grey's Anatomy,drama,thrilled
49,Arrested Development,comedy,laugh
50,Heartland,drama,thrilled
51,The Staircase,crime,thrilled
52,NCIS,crime,thrilled
53,Avatar: The Last Airbender,scifi,thrilled
54,Friday Night Lights,drama,thrilled
55,The IT Crowd,comedy,laugh
56,The Spectacular Spider-Man,action,thrilled
57,Zoey 101,drama,thrilled
58,DEATH NOTE,animation,thrilled
59,The Vampire Diaries,drama,thrilled
60,Naruto,animation,thrilled
61,My Little Pony: Friendship Is Magic,comedy,laugh
62,Chappelle's Show,comedy,laugh
63,Victorious,comedy,laugh
64,Trailer Park Boys,comedy,laugh
65,America's Next Top Model,reality,laugh
66,The Fairly OddParents,comedy,laugh
67,Ned's Declassified School Survival Guide,family,nostalgic
68,iCarly,comedy,laugh
69,Merlin,action,thrilled
70,Transformers: Prime,action,thrilled
71,The Mole,reality,laugh
72,Offspring,drama,thrilled
